Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
3473,1,1,E16D2N,E16D2N-114,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,5/2/2017,MZ,specimen badly damaged - head
3486,1,0,E16C2P,E16C2P-127,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/1/2016,MZ,5/2/2017,MZ,
3467,1,0,E16D2N,E16D2N-108,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,5/2/2017,MZ,
3471,1,0,E16D2N,E16D2N-112,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,6/19/2017,MZ,
3392,1,0,E16B2N,E16B2N-33,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/17/2017,MZ,
3397,1,1,E16B2N,E16B2N-38,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/17/2017,MZ,
3425,1,0,E16C2N,E16C2N-66,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/15/2017,MZ,
3015,1,0,GT16D1N,GT16D1N-123,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/30/2016,MF,6/19/2017,MZ,
2915,1,0,GT16B1N,GT16B1N-22,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/3/2016,ECC,6/19/2017,MZ,large orange lump on thorax
2934,1,0,GT16B1N,GT16B1N-41,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/3/2016,ECC,5/11/2017,MZ,
2974,1,1,GT16C1N,GT16C1N-81,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/10/2016,ECC,6/22/2017,MZ,
